country_iso3,year,wheat_yield_kg_ha
DEU,2008,8087.3
DEU,2009,7809.1
DEU,2010,7212.0
DEU,2011,7013.9
DEU,2012,7331.2
DEU,2013,7997.9
DEU,2014,8629.6
DEU,2015,8087.7
DEU,2016,7640.9
DEU,2017,7644.3
DEU,2018,6673.7
DEU,2019,7396.4
DEU,2020,7819.5
DEU,2021,7301.5
DEU,2022,7577.3
DEU,2023,7431.8
EGY,2001,6358.0
EGY,2002,6434.5
EGY,2003,6500.1
EGY,2004,6556.7
EGY,2005,6492.9
EGY,2006,6430.3
EGY,2007,6467.3
EGY,2008,6503.1
EGY,2009,6382.9
EGY,2010,5574.1
EGY,2011,6542.8
EGY,2012,6582.3
EGY,2013,6668.2
EGY,2014,6175.2
EGY,2015,6591.9
EGY,2016,6631.1
EGY,2017,6859.7
EGY,2018,6294.2
EGY,2019,6500.3
EGY,2020,6366.3
EGY,2021,6850.5
EGY,2022,6698.9
EGY,2023,6776.9
FRA,2001,6616.9
FRA,2002,7445.5
FRA,2003,6250.0
FRA,2004,7578.8
FRA,2005,6988.7
FRA,2006,6741.4
FRA,2007,6254.2
FRA,2008,7101.8
FRA,2009,7447.8
FRA,2010,7040.5
FRA,2011,6656.3
FRA,2012,7151.2
FRA,2013,7265.6
FRA,2014,7353.0
FRA,2015,7800.8
FRA,2016,5289.6
FRA,2017,7253.8
FRA,2018,6768.0
FRA,2019,7742.8
FRA,2020,6677.6
FRA,2021,6928.4
FRA,2022,6996.7
FRA,2023,7201.6
GEO,2001,2688.3
GEO,2002,1698.4
GEO,2003,1934.7
GEO,2004,1816.5
GEO,2005,1988.9
GEO,2006,1246.9
GEO,2007,1668.2
GEO,2008,1683.4
GEO,2009,1073.7
GEO,2010,1018.9
GEO,2011,2068.4
GEO,2012,1698.9
GEO,2013,1836.7
GEO,2014,1353.3
GEO,2015,2579.1
GEO,2016,2573.2
GEO,2017,2214.9
GEO,2018,2473.4
GEO,2019,2334.1
GEO,2020,2202.2
GEO,2021,2701.8
GEO,2022,2850.9
GEO,2023,2639.1
IND,2001,2708.1
IND,2002,2762.1
IND,2003,2610.0
IND,2004,2713.2
IND,2005,2601.6
IND,2006,2618.8
IND,2007,2707.9
IND,2008,2802.2
IND,2009,2907.1
IND,2010,2839.5
IND,2011,2988.6
IND,2012,3177.5
IND,2013,3153.8
IND,2014,3145.7
IND,2015,2749.6
IND,2016,3033.9
IND,2017,3199.9
IND,2018,3368.2
IND,2019,3533.4
IND,2020,3439.8
IND,2021,3520.8
IND,2022,3537.3
IND,2023,3520.7
IRN,2001,1703.3
IRN,2002,1995.0
IRN,2003,2096.9
IRN,2004,2205.6
IRN,2005,2058.5
IRN,2006,2131.7
IRN,2007,2199.7
IRN,2008,1334.3
IRN,2009,1819.2
IRN,2010,1833.7
IRN,2011,1360.8
IRN,2012,1348.2
IRN,2013,1453.8
IRN,2014,1745.3
IRN,2015,2015.9
IRN,2016,2461.2
IRN,2017,2280.3
IRN,2018,2462.8
IRN,2019,2338.7
IRN,2020,2255.0
IRN,2021,2263.2
IRN,2022,2429.6
IRN,2023,2528.9
KAZ,2001,1180.3
KAZ,2002,1089.5
KAZ,2003,1025.0
KAZ,2004,843.2
KAZ,2005,948.0
KAZ,2006,1134.8
KAZ,2007,1298.3
KAZ,2008,971.5
KAZ,2009,1194.1
KAZ,2010,733.6
KAZ,2011,1660.9
KAZ,2012,792.9
KAZ,2013,1076.2
KAZ,2014,1090.1
KAZ,2015,1188.2
KAZ,2016,1211.1
KAZ,2017,1242.7
KAZ,2018,1228.1
KAZ,2019,1013.7
KAZ,2020,1182.5
KAZ,2021,928.8
KAZ,2022,1272.7
KAZ,2023,922.4
KGZ,2001,2488.3
KGZ,2002,2301.7
KGZ,2003,2364.9
KGZ,2004,2434.4
KGZ,2005,2241.0
KGZ,2006,2068.4
KGZ,2007,1998.5
KGZ,2008,1940.2
KGZ,2009,2628.5
KGZ,2010,2167.4
KGZ,2011,2144.5
KGZ,2012,1675.1
KGZ,2013,2365.4
KGZ,2014,1689.3
KGZ,2015,2370.1
KGZ,2016,2446.1
KGZ,2017,2405.3
KGZ,2018,2426.8
KGZ,2019,2509.3
KGZ,2020,2546.5
KGZ,2021,1453.1
KGZ,2022,2542.3
KGZ,2023,1910.7
MAR,2001,1228.0
MAR,2002,1279.3
MAR,2003,1722.0
MAR,2004,1808.2
MAR,2005,1026.1
MAR,2006,2036.5
MAR,2007,615.4
MAR,2008,1318.9
MAR,2009,2139.8
MAR,2010,1709.5
MAR,2011,1948.8
MAR,2012,1234.2
MAR,2013,2164.0
MAR,2014,1713.2
MAR,2015,2466.4
MAR,2016,1131.5
MAR,2017,2095.3
MAR,2018,2575.2
MAR,2019,1606.3
MAR,2020,900.4
MAR,2021,2633.5
MAR,2022,1111.4
MAR,2023,1708.3
NLD,2001,7944.7
NLD,2002,7814.5
NLD,2003,8743.9
NLD,2004,8914.9
NLD,2005,8593.2
NLD,2006,8394.0
NLD,2007,7271.4
NLD,2008,8729.5
NLD,2009,9291.9
NLD,2010,8909.2
NLD,2011,7781.2
NLD,2012,8587.0
NLD,2013,8741.2
NLD,2014,9169.8
NLD,2015,9125.5
NLD,2016,7983.2
NLD,2017,9093.5
NLD,2018,8614.7
NLD,2019,9378.1
NLD,2020,8556.0
NLD,2021,8018.0
NLD,2022,9393.1
NLD,2023,8467.0
PAK,2001,2325.4
PAK,2002,2262.1
PAK,2003,2387.8
PAK,2004,2373.3
PAK,2005,2585.8
PAK,2006,2518.6
PAK,2007,2715.6
PAK,2008,2451.4
PAK,2009,2656.8
PAK,2010,2552.8
PAK,2011,2832.8
PAK,2012,2713.8
PAK,2013,2795.7
PAK,2014,2824.1
PAK,2015,2725.6
PAK,2016,2779.0
PAK,2017,2972.9
PAK,2018,2850.5
PAK,2019,2805.9
PAK,2020,2867.5
PAK,2021,2995.6
PAK,2022,2919.6
PAK,2023,3117.6
TJK,2001,1309.8
TJK,2002,1789.8
TJK,2003,1971.6
TJK,2004,1989.7
TJK,2005,1960.3
TJK,2006,1996.7
TJK,2007,2350.0
TJK,2008,1986.6
TJK,2009,3034.3
TJK,2010,3015.9
TJK,2011,2335.9
TJK,2012,2675.8
TJK,2013,2973.5
TJK,2014,2968.0
TJK,2015,3032.0
TJK,2016,3082.8
TJK,2017,3147.1
TJK,2018,3048.3
TJK,2019,3170.5
TJK,2020,3138.0
TJK,2021,3100.4
TJK,2022,3446.2
TJK,2023,3129.1
TKM,2001,2514.3
TKM,2002,3186.3
TKM,2003,2925.9
TKM,2004,3170.7
TKM,2005,3148.9
TKM,2006,3524.3
TKM,2007,1300.0
TKM,2008,1100.0
TKM,2009,1600.0
TKM,2010,1700.0
TKM,2011,1361.9
TKM,2012,1453.6
TKM,2013,1572.8
TKM,2014,1642.4
TKM,2015,1811.5
TKM,2016,1834.3
TKM,2017,1796.1
TKM,2018,1426.6
TKM,2019,2172.6
TKM,2020,2141.5
TKM,2021,2007.6
TKM,2022,1719.2
TKM,2023,1658.2
TUR,2001,2076.5
TUR,2002,2100.6
TUR,2003,2098.7
TUR,2004,2265.8
TUR,2005,2330.9
TUR,2006,2359.5
TUR,2007,2167.5
TUR,2008,2345.1
TUR,2009,2566.4
TUR,2010,2440.0
TUR,2011,2703.8
TUR,2012,2672.3
TUR,2013,2845.1
TUR,2014,2429.4
TUR,2015,2880.3
TUR,2016,2707.0
TUR,2017,2806.0
TUR,2018,2744.0
TUR,2019,2781.1
TUR,2020,2964.7
TUR,2021,2664.9
TUR,2022,2991.6
TUR,2023,3219.9
UKR,2001,3102.0
UKR,2002,3045.5
UKR,2003,2938.5
UKR,2004,3166.1
UKR,2005,2845.7
UKR,2006,2530.8
UKR,2007,2342.0
UKR,2008,3669.8
UKR,2009,3093.0
UKR,2010,2681.6
UKR,2011,3353.3
UKR,2012,2799.9
UKR,2013,3393.1
UKR,2014,4011.9
UKR,2015,3879.2
UKR,2016,4205.6
UKR,2017,4109.7
UKR,2018,3724.2
UKR,2019,4156.6
UKR,2020,3795.0
UKR,2021,4533.2
UKR,2022,3924.9
UKR,2023,4642.2
USA,2001,2701.8
USA,2002,2356.7
USA,2003,2971.2
USA,2004,2902.6
USA,2005,2823.1
USA,2006,2598.6
USA,2007,2704.6
USA,2008,3017.5
USA,2009,2989.7
USA,2010,3116.7
USA,2011,2942.2
USA,2012,3115.4
USA,2013,3167.3
USA,2014,2937.8
USA,2015,2929.9
USA,2016,3540.8
USA,2017,3117.5
USA,2018,3200.5
USA,2019,3474.6
USA,2020,3341.7
USA,2021,2980.5
USA,2022,3126.5
USA,2023,3269.4
UZB,2001,3150.9
UZB,2002,4041.0
UZB,2003,3731.5
UZB,2004,3745.7
UZB,2005,4207.3
UZB,2006,4210.8
UZB,2007,4478.6
UZB,2008,4477.1
UZB,2009,4901.3
UZB,2010,4600.0
UZB,2011,4556.0
UZB,2012,4709.5
UZB,2013,4739.3
UZB,2014,4782.1
UZB,2015,4817.5
UZB,2016,4802.3
UZB,2017,4316.5
UZB,2018,4126.0
UZB,2019,4649.3
UZB,2020,4555.6
UZB,2021,4824.5
UZB,2022,4987.8
UZB,2023,5266.2
